t,rho_lower,rho_upper
149,-0.028243469420412337,0.011756530579587698
150,-0.028243469420412337,0.011756530579587698
151,-0.028243469420412337,0.011756530579587698
152,-0.028243469420412337,0.011756530579587698
153,-0.028243469420412337,0.011756530579587698
154,-0.028243469420412337,0.011756530579587698
155,-0.028243469420412337,0.011756530579587698
156,-0.028243469420412337,0.011756530579587698
157,-0.028243469420412337,0.011756530579587698
158,-0.028243469420412337,0.011756530579587698
159,-0.028243469420412337,0.011756530579587698
160,-0.025513581815684194,0.014486418184315841
161,-0.021349062540764407,0.018650937459235628
162,0.004655985031765786,0.04465598503176582
163,0.028227809946184346,0.06822780994618438
164,0.04060137415232634,0.08060137415232638
165,0.013225322540583173,0.05322532254058321
166,-0.016943620963747463,0.023056379036252572
167,-0.028243469420412337,0.011756530579587698
168,-0.08005847476638994,-0.04005847476638991
169,-0.12399614578576346,-0.08399614578576342
170,-0.15822463376753593,-0.11822463376753589
171,-0.1482056792651285,-0.10820567926512847
172,-0.15326559447342114,-0.1132655944734211
173,-0.2082253785253616,-0.16822537852536157
174,-0.3213679391546935,-0.2813679391546935
175,-0.4032180715592706,-0.36321807155927055
176,-0.4417779184053421,-0.40177791840534205
177,-0.46394527344618397,-0.42394527344618393
178,-0.5167730868967668,-0.4767730868967668
179,-0.6191199206511989,-0.5791199206511989
180,-0.7171860439450978,-0.6771860439450977
181,-0.6854811417742128,-0.6454811417742128
182,-0.6428607590300022,-0.6028607590300021
183,-0.5816367534256938,-0.5416367534256937
184,-0.5106861817945123,-0.47068618179451227
185,-0.4503605847874591,-0.41036058478745907
186,-0.40054625974204283,-0.3605462597420428
187,-0.34654924593237957,-0.30654924593237953
188,-0.27801382223672677,-0.23801382223672674
189,-0.20637971122601528,-0.16637971122601525
190,-0.14040217568841373,-0.1004021756884137
191,-0.08556852908604529,-0.04556852908604525
192,-0.03705883806370047,0.0029411619362995634
193,0.010225667868031252,0.05022566786803129
194,0.058749606769270324,0.09874960676927036
195,0.09504886637093124,0.13504886637093128
196,0.12163403345706336,0.1616340334570634
197,0.1447579974097155,0.18475799740971555
198,0.15896811914453668,0.19896811914453671
199,0.1766459789220869,0.21664597892208692
200,0.1766459789220869,0.21664597892208692
201,0.1766459789220869,0.21664597892208692
202,0.1766459789220869,0.21664597892208692
203,0.1766459789220869,0.21664597892208692
204,0.1766459789220869,0.21664597892208692
205,0.1766459789220869,0.21664597892208692
206,0.1766459789220869,0.21664597892208692
207,0.1766459789220869,0.21664597892208692
208,0.1766459789220869,0.21664597892208692
209,0.1766459789220869,0.21664597892208692
210,0.1766459789220869,0.21664597892208692
211,0.19019244105371635,0.2301924410537164
212,0.21212920126446844,0.25212920126446847
213,0.22273485634976442,0.26273485634976446
214,0.22053015905123297,0.260530159051233
215,0.21386573319801605,0.2538657331980161
216,0.20550723270679794,0.24550723270679797
217,0.19482154357780224,0.23482154357780227
218,0.1766459789220869,0.21664597892208692
219,0.1441793926636501,0.18417939266365013
220,0.11060693890154627,0.1506069389015463
221,0.08437608018976062,0.12437608018976065
222,0.06412748987835082,0.10412748987835085
223,0.026684297807000545,0.06668429780700058
224,-0.0606023047011619,-0.020602304701161867
225,-0.15909934985564278,-0.11909934985564274
226,-0.20007879868957734,-0.1600787986895773
227,-0.19036868335524693,-0.1503686833552469
228,-0.21689550095012056,-0.17689550095012052
229,-0.30475124573585677,-0.26475124573585673
230,-0.42607820055100976,-0.3860782005510097
231,-0.4958168259472089,-0.45581682594720885
232,-0.41603703600042463,-0.3760370360004246
233,-0.32637855470812127,-0.28637855470812124
234,-0.24057514009326564,-0.2005751400932656
235,-0.1623668490450314,-0.12236684904503137
236,-0.10421052626452743,-0.06421052626452739
237,-0.0807791817675747,-0.04077918176757467
238,-0.04205113388610715,-0.002051133886107115
239,0.011331413530072387,0.05133141353007242
240,0.07402924641199382,0.11402924641199386
241,0.1457070924130517,0.18570709241305172
242,0.22676762698503827,0.2667676269850383
243,0.29343465535381563,0.33343465535381567
244,0.3640828776092415,0.40408287760924155
245,0.4425788149246408,0.48257881492464083
246,0.5183278421912147,0.5583278421912148
247,0.5698408034169227,0.6098408034169227
248,0.6122745830736112,0.6522745830736112
249,0.6122745830736112,0.6522745830736112
250,0.6122745830736112,0.6522745830736112
251,0.6122745830736112,0.6522745830736112
252,0.6122745830736112,0.6522745830736112
253,0.6122745830736112,0.6522745830736112
254,0.6122745830736112,0.6522745830736112
255,0.6122745830736112,0.6522745830736112
256,0.6122745830736112,0.6522745830736112
257,0.6122745830736112,0.6522745830736112
258,0.6122745830736112,0.6522745830736112
259,0.6122745830736112,0.6522745830736112
260,0.6122745830736112,0.6522745830736112
261,0.6385175011536208,0.6785175011536209
262,0.6496865014127764,0.6896865014127764
263,0.6623463124546822,0.7023463124546823
264,0.658121864260927,0.698121864260927
265,0.6508166977600822,0.6908166977600823
266,0.6293659582316689,0.6693659582316689
267,0.6188982903848566,0.6588982903848566
268,0.5703514715410203,0.6103514715410203
269,0.5399985716723184,0.5799985716723184
270,0.5169013654429846,0.5569013654429846
271,0.47511407313127174,0.5151140731312718
272,0.43526457710421695,0.475264577104217
273,0.3922911930480124,0.43229119304801245
274,0.3466902874498192,0.38669028744981926
275,0.32068478753604746,0.3606847875360475
276,0.29449100078873713,0.33449100078873717
277,0.27870861519661205,0.3187086151966121
278,0.2657167875204527,0.3057167875204527
279,0.24920786952652363,0.28920786952652366
280,0.23906232863204901,0.27906232863204905
281,0.23035262806792023,0.27035262806792026
282,0.22484329860241714,0.2648432986024172
283,0.21697245919313124,0.2569724591931313
284,0.21869428611180752,0.25869428611180756
285,0.2144361058529638,0.25443610585296383
286,0.21069066727948105,0.2506906672794811
287,0.21659785465200554,0.2565978546520056
288,0.2177899372355323,0.25778993723553234
289,0.222965532116137,0.26296553211613705
290,0.22554848174489117,0.2655484817448912
291,0.21781482031254829,0.2578148203125483
292,0.209554972611945,0.24955497261194504
293,0.21541697906067747,0.2554169790606775
294,0.22065015029755997,0.26065015029756
295,0.21819419853193622,0.25819419853193626
296,0.21444186185786163,0.25444186185786166
297,0.21061938403122693,0.25061938403122697
298,0.19038328078441968,0.23038328078441972
299,0.20456293756173416,0.2445629375617342
300,0.20245775910632413,0.24245775910632417
301,0.19947071316533882,0.23947071316533886
302,0.18632897467572573,0.22632897467572577
303,0.18026289254868955,0.22026289254868958
304,0.1806811735981786,0.22068117359817863
305,0.11791207078821997,0.15791207078822
306,0.06771279657159646,0.10771279657159649
307,0.05829550704353248,0.09829550704353252
308,0.07869312906901671,0.11869312906901675
309,0.07613551193528156,0.1161355119352816
310,0.024386700355788937,0.06438670035578897
311,-0.07345468122564669,-0.033454681225646654
312,-0.11664617043675651,-0.07664617043675648
313,-0.033652552188920826,0.00634744781107921
314,0.03885267604797238,0.07885267604797241
315,0.12332515920919107,0.1633251592091911
316,0.21483396179706027,0.2548339617970603
317,0.30435074572126664,0.34435074572126667
318,0.3647288604641956,0.40472886046419565
319,0.402054988975586,0.44205498897558604
320,0.43414743317288185,0.4741474331728819
321,0.48961646380562174,0.5296164638056218
322,0.5438509419040989,0.5838509419040989
323,0.5908964501326424,0.6308964501326424
324,0.6178035440464791,0.6578035440464791
